"trigger_id","monster_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","triggered_skill_id","runtime_kind","sort_order","target_side","target_selection","target_shape","center_mode","attribute","damage_multiplier","damage_source","damage_source_multiplier","tracked_attribute","hit_target_count","repeat_count","skill_effect_prefab_path","runtime_support_state","runtime_support_notes","trigger_attribute","proc_chance","internal_cooldown_seconds","trigger_action","event_skill_id","target_skill_id","condition_status_source_skill_id","event_source_scope","cooldown_refund_ratio","reload_reduce_ratio"
"id","string","string","enum:SkillTriggerEvent","string","string","string","enum:SkillRuntimeKind","int","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:DamageAttribute","float","enum:SkillTriggerDamageSource","float","enum:DamageAttribute","string","int","asset_path","string","string","string","float","float","enum:SkillTriggerActionKind","string","string","string","string","float","float"
"sein-a-master2-hit-explosion","sein","sein-a","OnOutgoingDamage","sein-a-master-2","","sein-a-master-2-explosion","SingleAttack","10","Enemy","EventTarget","Circle","EffectTarget","Fire","1","EventAppliedDamage","0.5","Fire","global","1","Assets/Prefab/Skill/Sein/Sein_A_Master-2.prefab","RuntimeImplemented","Sein-A master 2 triggers a shared SingleAttack explosion at the hit target for 50% of the applied Sein-A Fire damage.","Fire","1","0","SingleAttack","sein-a","","","owner","",""
"sein-g-auto-barrage-base","sein","sein-g","OnOutgoingDamage","","sein-g-trait-1;sein-g-trait-2","sein-b","MagazineProjectile","10","Enemy","EventTarget","Single","EffectTarget","Fire","0.6","","0","","1","1","","RuntimeImplemented","Sein-G base auto-triggers Sein-B at 60% damage when any ally deals Fire damage.","Fire","0.04","1.5","TriggeredSkill","","","","all_allies","0","0"
"sein-g-auto-barrage-trait1","sein","sein-g","OnOutgoingDamage","sein-g-trait-1","","sein-b","MagazineProjectile","11","Enemy","EventTarget","Single","EffectTarget","Fire","0.6","","0","","1","1","","RuntimeImplemented","Sein-G trait 1 raises the auto-trigger proc chance to 7% while preserving 60% damage.","Fire","0.07","1.5","TriggeredSkill","","","","all_allies","0","0"
"sein-g-auto-barrage-trait2","sein","sein-g","OnOutgoingDamage","sein-g-trait-2","","sein-b","MagazineProjectile","12","Enemy","EventTarget","Single","EffectTarget","Fire","0.8","","0","","1","1","","RuntimeImplemented","Sein-G trait 2 raises the auto-triggered Sein-B damage to 80%.","Fire","0.04","1.5","TriggeredSkill","","","","all_allies","0","0"
"sein-g-auto-barrage-reload-trait3","sein","sein-g","OnSkillCast","sein-g-trait-3","","sein-a","MagazineProjectile","13","Enemy","EventTarget","Single","EffectTarget","Fire","1","EventAppliedDamage","","Fire","1","1","","RuntimeImplemented","Sein-G trait 3 reduces Sein-A reload when the auto-triggered Sein-B cast is marked with Sein-G origin.","","1","0","ReloadReduce","sein-b","sein-a","sein-g","owner","","0.10"
"sein-j-kill-sein-a-reload","sein","sein-j","OnKill","","","sein-a","SingleAttack","20","Enemy","EventTarget","Single","EffectTarget","Fire","1","EventAppliedDamage","","Fire","1","1","","RuntimeImplemented","Sein-J base ReloadReduce for sein-a after Sein-E kill.","","1","0","ReloadReduce","sein-e","sein-a","","owner","","0.20"
"sein-j-kill-sein-b-cooldown","sein","sein-j","OnKill","","","sein-b","SingleAttack","21","Enemy","EventTarget","Single","EffectTarget","Fire","1","EventAppliedDamage","","Fire","1","1","","RuntimeImplemented","Sein-J base CooldownRefund for sein-b after Sein-E kill.","","1","0","CooldownRefund","sein-e","sein-b","","owner","0.20",""
"sein-j-kill-sein-b-reload","sein","sein-j","OnKill","","","sein-b","SingleAttack","22","Enemy","EventTarget","Single","EffectTarget","Fire","1","EventAppliedDamage","","Fire","1","1","","RuntimeImplemented","Sein-J base ReloadReduce for sein-b after Sein-E kill.","","1","0","ReloadReduce","sein-e","sein-b","","owner","","0.20"
"sein-j-kill-sein-c-cooldown","sein","sein-j","OnKill","","","sein-c","SingleAttack","23","Enemy","EventTarget","Single","EffectTarget","Fire","1","EventAppliedDamage","","Fire","1","1","","RuntimeImplemented","Sein-J base CooldownRefund for sein-c after Sein-E kill.","","1","0","CooldownRefund","sein-e","sein-c","","owner","0.20",""
