"skill_id","monster_id","slot","display_name","description_text","summary"
"id","string","enum:SkillSlot","string","string","string"
"ariel-f","ariel","F","빛의 인도","심판의 빛 대응 패시브. 아리엘의 신성 공격이 파티 전체의 신성 화력 기준점이 된다.\n모든 아군의 신성 피해: +12%","모든 아군의 신성 피해: +12%"
"ariel-g","ariel","G","수호 교리","성광 방패 대응 패시브. 모든 아군의 방어막 운용을 강화한다.\n모든 아군이 받는 방어막량: +18%\n전투 시작 시 모든 아군 신성 방어막: 25 + 주문력 * 0.8","모든 아군이 받는 방어막량: +18%\n전투 시작 시 모든 아군 신성 방어막: 25 + 주문력 * 0.8"
"ariel-h","ariel","H","축복 전파","축복의 파동 대응 패시브. 축복 효과를 파티의 지속 화력으로 연결한다.\n축복을 받은 아군의 신성 피해: +15%\n축복을 받은 아군의 쿨타임 충전 속도: +10%","축복을 받은 아군의 신성 피해: +15%\n축복을 받은 아군의 쿨타임 충전 속도: +10%"
"ariel-i","ariel","I","낙인 계시","천상의 낙인 대응 패시브. 신성 노출 대상에게 파티의 공격을 집중시킨다.\n신성 노출 대상이 모든 아군에게 받는 피해: +10%","신성 노출 대상이 모든 아군에게 받는 피해: +10%"
"ariel-j","ariel","J","성역 선포","대천사의 강림 대응 패시브. 강림 이후 파티가 다시 공세를 이어갈 수 있게 만든다.\n대천사의 강림 이후 모든 아군 행동속도: +15%, 5초\n대천사의 강림 방어막이 남아있는 아군의 신성 피해: +20%","대천사의 강림 이후 모든 아군 행동속도: +15%, 5초\n대천사의 강림 방어막이 남아있는 아군의 신성 피해: +20%"
"eve-f","eve","F","전압 보정","아크 볼트 패시브. 전투 시작 시 번개 스킬을 가진 아군에게 이브 주문력의 120%만큼 12초 동안 보호막을 부여한다. 모든 아군은 감전된 대상에게 주는 피해가 10% 증가한다.","전투 시작 시 번개 스킬 보유 아군에게 보호막을 부여한다. 감전 대상 피해 +10%."
"eve-g","eve","G","약점 분석","프리즘 레이 패시브. 아군의 번개 또는 얼음 피해가 4% 확률로 프리즘 레이를 자동 시전한다. 재발동 대기시간 1.5초. 모든 아군의 번개 및 얼음 피해 +8%.","번개 또는 얼음 피해가 프리즘 레이를 자동 시전할 수 있다. 번개 및 얼음 피해 +8%."
"eve-h","eve","H","입자 분리","프로스트 필드 패시브. 모든 아군은 추위 또는 빙결 대상에게 주는 피해가 14% 증가한다. 추위 또는 빙결 대상에 대한 상태이상 확률 +10%.","추위 또는 빙결 대상 피해 +14%. 상태이상 확률 +10%."
"eve-i","eve","I","냉각 알고리즘","스태틱 오버라이드 패시브. 모든 아군은 감전된 대상에게 주는 번개 피해가 18% 증가한다. 감전 5스택 대상의 번개 저항을 12 감소시킨다.","감전 대상 번개 피해 +18%. 감전 5스택 대상 번개 저항 -12."
"eve-j","eve","J","과전류 회로","플라즈마 필드 패시브. 모든 아군은 취약 대상에게 주는 피해가 12% 증가한다. 취약 대상의 모든 저항을 8 감소시킨다.","취약 대상 피해 +12%. 취약 대상 모든 저항 -8."
"rin-f","rin","F","양손잡이","린의 모든 공격에 반 박자 늦은 추가 일격을 덧붙여, 묵직한 연타형 브루저 리듬을 완성하는 패시브.\n모든 아군의 물리 피해: +12%\n린의 스킬 적중 시 추가타: 최종 피해의 35% 물리 피해 1회\n추가타 적용 대상: 파쇄권, 하울링을 제외한 직접 피해 액티브 전부","모든 아군의 물리 피해: +12%\n린의 스킬 적중 시 추가타: 최종 피해의 35% 물리 피해 1회\n추가타 적용 대상: 파쇄권, 하울링을 제외한 직접 피해 액티브 전부"
"rin-g","rin","G","전장의 공명","린의 함성이 전장 전체의 전투 리듬을 맞추며, 하울링을 아군 공세의 핵심 버프로 확장한다.\n하울링 중 모든 아군의 공격력: +14%\n하울링 중 모든 아군의 행동속도: +8%","하울링 중 모든 아군의 공격력: +14%\n하울링 중 모든 아군의 행동속도: +8%"
"rin-h","rin","H","파문 증폭","린의 충격파를 아군 물리 공세와 연결해, 전열 제어와 연쇄 압박을 동시에 만든다.\n아군이 물리 피해를 10회 줄 때 충격파 자동 발동: 1회, 내부 대기시간 3.0초\n자동 발동 충격파 위력: 75%","아군이 물리 피해를 10회 줄 때 충격파 자동 발동: 1회, 내부 대기시간 3.0초\n자동 발동 충격파 위력: 75%"
"rin-i","rin","I","마무리 본능","약해진 적을 향한 린의 살의가 아군 전체의 집중 화력을 끌어내는 처형 연계 패시브.\n현재 체력 35% 이하 적이 받는 모든 아군 피해: +16%\n종결 일격으로 적 처치 시 모든 아군의 행동속도: +10%, 4.0초","현재 체력 35% 이하 적이 받는 모든 아군 피해: +16%\n종결 일격으로 적 처치 시 모든 아군의 행동속도: +10%, 4.0초"
"rin-j","rin","J","붕괴 여파","붕괴 타격이 남긴 균열을 틈타 아군의 물리 공세가 적의 방어를 무너뜨리는 결전형 패시브.\n붕괴 타격 적중 대상의 물리 방어력: -18%, 4.0초\n붕괴 타격이 3명 이상 적중하면 모든 아군의 행동속도: +12%, 3.0초","붕괴 타격 적중 대상의 물리 방어력: -18%, 4.0초\n붕괴 타격이 3명 이상 적중하면 모든 아군의 행동속도: +12%, 3.0초"
"sein-f","sein","F","가열 조준","열풍 화살 대응 패시브. 화염 스킬 보유 아군의 기본 화력을 강화한다.\n모든 아군의 화염 피해: +12%\n화염 스킬 보유 아군의 치명타 확률: +8%","모든 아군의 화염 피해: +12%\n화염 스킬 보유 아군의 치명타 확률: +8%"
"sein-g","sein","G","불꽃 탄막","작열 난사 대응 패시브. 아군의 화염 피해를 작열 난사 자동 발동으로 연결한다.\n아군이 화염 피해를 줄 때 작열 난사 자동 발동 확률: 4%, 재발동 대기시간 1.5초\n자동 발동 작열 난사 위력: 60%","아군이 화염 피해를 줄 때 작열 난사 자동 발동 확률: 4%, 재발동 대기시간 1.5초\n자동 발동 작열 난사 위력: 60%"
"sein-h","sein","H","연소 궤적","화염궤도 대응 패시브. 화염궤도에 맞은 적의 화염 저항을 낮춘다.\n화염궤도에 맞은 적의 화염 저항: -12, 5초","화염궤도에 맞은 적의 화염 저항: -12, 5초"
"sein-i","sein","I","열압 확산","초열 지대 대응 패시브. 초열 지대 안의 적을 아군 전체 화염 피해의 집중 대상으로 만든다.\n초열 지대에 피해를 받은 적에게 모든 아군 화염 피해: +15%, 4초\n초열 지대 피해 주기 속도: +20%","초열 지대에 피해를 받은 적에게 모든 아군 화염 피해: +15%, 4초\n초열 지대 피해 주기 속도: +20%"
"sein-j","sein","J","종말 예고","종말의 사선 대응 패시브. 결전기 이후 화염 공세를 이어가게 한다.\n종말의 사선에 맞은 적에게 모든 아군 화염 피해: +20%, 5초\n종말의 사선으로 처치 시 세인의 모든 스킬 쿨타임 충전: +20%","종말의 사선에 맞은 적에게 모든 아군 화염 피해: +20%, 5초\n종말의 사선으로 처치 시 세인의 모든 스킬 쿨타임 충전: +20%"
"vega-f","vega","F","각인 심화","삼검난무 대응 패시브. 이름표식 대상을 아군 전체의 집중 공격 대상으로 만든다.\n모든 아군이 이름표식 대상에게 주는 피해: +10%\n이름표식 10스택 이상 대상의 물리 저항: -8","모든 아군이 이름표식 대상에게 주는 피해: +10%\n이름표식 10스택 이상 대상의 물리 저항: -8"
"vega-g","vega","G","봉인검식","침묵의 대태도 대응 패시브. 침묵 상태의 적을 아군 전체가 공략하기 쉽게 만든다.\n모든 아군이 침묵 대상에게 주는 피해: +14%\n침묵의 대태도 이름표식 부여: 2스택","모든 아군이 침묵 대상에게 주는 피해: +14%\n침묵의 대태도 이름표식 부여: 2스택"
"vega-h","vega","H","처형 준비","몰살 허가 대응 패시브. 베가의 처형 준비 상태를 아군 전체의 공세 타이밍으로 확장한다.\n몰살 허가 중 모든 아군의 행동속도: +12%\n몰살 허가 지속시간: +20%","몰살 허가 중 모든 아군의 행동속도: +12%\n몰살 허가 지속시간: +20%"
"vega-i","vega","I","연쇄 참결","검은 명부 개방 대응 패시브. 명부 참격 이후 아군의 광역 화력을 집중시킨다.\n검은 명부 개방에 피해를 받은 적에게 모든 아군 범위 피해: +15%, 4초\n아군이 범위 피해를 줄 때 검은 명부 개방 쿨타임 충전: +3%, 재발동 대기시간 1초","검은 명부 개방에 피해를 받은 적에게 모든 아군 범위 피해: +15%, 4초\n아군이 범위 피해를 줄 때 검은 명부 개방 쿨타임 충전: +3%, 재발동 대기시간 1초"
"vega-j","vega","J","사형 집행인","최종선고 대응 패시브. 처형 성공을 아군 전체의 다음 공격 기회로 바꾼다.\n최종선고로 처치 시 모든 아군 쿨타임 충전: +20%\n최종선고 대상이 생존하면 해당 대상에게 모든 아군 피해: +10%, 5초","최종선고로 처치 시 모든 아군 쿨타임 충전: +20%\n최종선고 대상이 생존하면 해당 대상에게 모든 아군 피해: +10%, 5초"
