choice_id,monster_id,skill_id,target_skill_id,choice_group,sort_order,title,description_text,runtime_support_state,runtime_support_notes,damage_multiplier,magazine_bonus,shot_interval_multiplier,radius_multiplier,duration_multiplier,duration_bonus,status_tag,status_stacks_bonus,status_duration_bonus_status_id,status_duration_bonus,conditional_damage_multiplier,conditional_target_status_id,conditional_target_status_min_stacks,runtime_target_skill_ids,burst_status_projectile_index,burst_status_stacks_bonus
id,string,string,string,enum:PakuriCsvChoiceGroup,int,string,string,string,string,float,int,float,float,float,float,string,int,string,float,float,string,int,string,,
ariel-f-trait-1,ariel,ariel-f,,PassiveEnhancement,0,특성 1,모든 아군 신성 피해 +6%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,
ariel-f-trait-2,ariel,ariel-f,ariel-a,PassiveEnhancement,1,특성 2,심판의 빛 탄창 +2,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler MagazineBonus.,,,,,,,,,,,,,,,,
ariel-f-trait-3,ariel,ariel-f,,PassiveEnhancement,2,특성 3,신성 스킬을 보유한 아군의 치명타 확률 +8%,RuntimeImplemented,"Passive effect rows now support passive-choice gating and active-skill-attribute filtering, so Ariel-F trait 3 grants crit chance +8% to allies that have at least one Holy active skill.",,,,,,,,,,,,,,,,
ariel-g-trait-1,ariel,ariel-g,,PassiveEnhancement,0,특성 1,방어막량 증가 +8%,RuntimeImplemented,"Passive effect rows now support passive-choice gating, so Ariel-G trait 1 adds shield received +8% through a gated passive-buff row.",,,,,,,,,,,,,,,,
ariel-g-trait-2,ariel,ariel-g,,PassiveEnhancement,1,특성 2,전투 시작 방어막 +40%,RuntimeImplemented,"Passive effect rows now support passive-choice gating, so Ariel-G trait 2 adds an extra apply-once start shield equal to 40% of the base passive shield.",,,,,,,,,,,,,,,,
ariel-g-trait-3,ariel,ariel-g,,PassiveEnhancement,2,특성 3,방어막을 가진 아군의 신성 피해 +10%,RuntimeImplemented,"Passive effect rows now support passive-choice gating, so Ariel-G trait 3 grants shielded allies Holy damage +10%.",,,,,,,,,,,,,,,,
ariel-h-trait-1,ariel,ariel-h,ariel-c,PassiveEnhancement,0,특성 1,신성 피해 증가량 +7%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,
ariel-h-trait-2,ariel,ariel-h,ariel-c,PassiveEnhancement,1,특성 2,쿨타임 충전 속도 +5%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler CooldownMultiplier.,,,,,,,,,,,,,,,,
ariel-h-trait-3,ariel,ariel-h,ariel-c,PassiveEnhancement,2,특성 3,축복의 파동 지속시간 +2초,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DurationBonus.,,,,,,,,,,,,,,,,
ariel-i-trait-1,ariel,ariel-i,,PassiveEnhancement,0,특성 1,받는 피해 증가량 +5%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler DamageMultiplier.,,,,,,,,,,,,,,,,
ariel-i-trait-2,ariel,ariel-i,ariel-d,PassiveEnhancement,1,특성 2,천상의 낙인 쿨타임 -20%,RuntimeImplemented,Migrated numeric modifier to monster_skill_nodes.csv handler CooldownMultiplier.,,,,,,,,,,,,,,,,
